Company,Market Value,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,CEO,Forbes Webpage,Profits as % of Assets,Profits as % of Revenue,Twitter ID
Aeroports de Paris,19.95,5.283,0.72,18.367,1020,Industrials,Other Transportation,Europe,France,France,Augustin de Romanet de Beaune,http://www.forbes.com/companies/aeroports-de-paris/,0.0392007404584309,0.136286201022147,@ParisAeroport
Accor,11.952,4.259,2.634,14.766,1041,Consumer Discretionary,Hotels & Motels,Europe,France,France,Sébastien Bazin,http://www.forbes.com/companies/accor/,0.178382771231207,0.61845503639352,@Accor
Gecina,10.843,1.13,1.186,22.53,1072,Financials,Real Estate,Europe,France,France,Méka Brunel,http://www.forbes.com/companies/gecina/,0.0526409232134931,1.04955752212389,@Gecina
Dassault Aviation,12.121,6.039,0.676,19.494,1082,Industrials,Aerospace & Defense,Europe,France,France,Éric Trappier,http://www.forbes.com/companies/dassault-aviation/,0.0346773366163948,0.111939062758735,@Dassault_OnAir
Klepierre,10.65,1.382,0.823,29.216,1091,Financials,Real Estate,Europe,France,France,Jean-Marc Jestin,http://www.forbes.com/companies/klepierre/,0.0281694961664841,0.595513748191028,@KlepierreGroup
Covivio,8.839,1.489,0.884,27.95,1172,Financials,Real Estate,Europe,France,France,Christophe Kullmann,http://www.forbes.com/companies/covivio/,0.0316279069767442,0.593687038280725,@covivio_
Arkema,8.127,10.401,0.834,11.626,1205,Materials,Diversified Chemicals,Europe,France,France,Thierry Hénaff,http://www.forbes.com/companies/arkema/,0.0717357646654051,0.0801845976348428,@Arkema_fr
Dassault Systemes,39.203,4.103,0.672,9.115,1208,Information Technology,Software & Programming,Europe,France,France,Bernard Charlès,http://www.forbes.com/companies/dassault-systemes/,0.0737246297312123,0.163782598098952,@Dassault3DS
SEB SA,9.061,8.037,0.494,8.09,1517,Consumer Discretionary,Household Appliances,Europe,France,France,Thierry de La Tour d'Artaise,http://www.forbes.com/companies/seb-sa/,0.0610630407911001,0.0614657210401891,@GroupeSEB
Finatis,0.26,44.249,-0.092,,1526,Consumer Staples,Food Retail,Europe,France,France,Didier Lévêque,http://www.forbes.com/companies/finatis/,,-0.00207914303148094,@Groupe_Casino
Rexel,3.856,15.764,0.178,11.826,1719,Information Technology,Electronics,Europe,France,France,Patrick Berard,http://www.forbes.com/companies/rexel/,0.0150515812616269,0.0112915503679269,@Rexel_Group
Wendel,6.118,9.897,0.054,16.206,1724,Financials,Investment Services,Europe,France,France,André François-Poncet,http://www.forbes.com/companies/wendel/,0.00333209922251018,0.0054561988481358,@WendelGroup
Burelle,1.901,8.551,0.532,7.477,1733,Consumer Discretionary,Auto & Truck Parts,Europe,France,France,Jean Burelle,http://www.forbes.com/companies/burelle/,0.0711515313628461,0.0622149456203953,@PlasticOmnium
Bureau Veritas,10.782,5.657,0.392,6.969,1874,Consumer Discretionary,Business & Personal Services,Europe,France,France,Didier Michaud-Daniel,http://www.forbes.com/companies/bureau-veritas/,0.0562491031711867,0.0692946791585646,@bureauveritas
Ipsen,10.983,2.625,0.46,3.861,1897,Health Care,Pharmaceuticals,Europe,France,France,David Meek,http://www.forbes.com/companies/ipsen/,0.119140119140119,0.175238095238095,@IpsenGroup
Volkswagen Group,91.951,278.243,13.955,553.506,18,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,Herbert Diess,http://www.forbes.com/companies/volkswagen-group/,0.0252120121552431,0.0501540020773209,@VWGroup
Allianz,102.303,118.843,8.803,1060.217,23,Financials,Diversified Insurance,Europe,Germany,Germany,Oliver Bäte,http://www.forbes.com/companies/allianz/,0.00830301721251404,0.0740725158402262,@Allianz
Daimler,71.342,197.445,8.552,321.933,37,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,Dieter Zetsche,http://www.forbes.com/companies/daimler/,0.0265645336141371,0.0433133277621616,@MercedesBenz
BMW Group,57.486,115.002,8.396,238.895,57,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,Harald Krüger,http://www.forbes.com/companies/bmw-group/,0.0351451474497164,0.0730074259578094,@BMW
Siemens,96.998,98.316,5.465,164.165,64,Industrials,Conglomerates,Europe,Germany,Germany,Joe Kaeser,http://www.forbes.com/companies/siemens/,0.0332896780677976,0.0555860694088449,@Siemens
BASF,76.584,76.235,5.553,103.775,99,Materials,Diversified Chemicals,Europe,Germany,Germany,Martin Brudermüller,http://www.forbes.com/companies/basf/,0.0535099975909419,0.0728405587984522,@BASF
Deutsche Telekom,79.386,89.255,2.557,176.488,116,Telecommunication Services,Telecommunications services,Europe,Germany,Germany,Timotheus Höttges,http://www.forbes.com/companies/deutsche-telekom/,0.0144882371606002,0.0286482549997199,@deutschetelekom
Munich Re,36.31,62.872,2.725,311.574,147,Financials,Diversified Insurance,Europe,Germany,Germany,Joachim Wenning,http://www.forbes.com/companies/munich-re/,0.00874591589798892,0.0433420282478687,@MunichRe
Bayer,64.127,46.702,2,150.254,164,Materials,Diversified Chemicals,Europe,Germany,Germany,Werner Baumann,http://www.forbes.com/companies/bayer/,0.0133107937226297,0.0428247184274763,@Bayer
SAP,134.852,29.149,4.823,58.862,176,Information Technology,Software & Programming,Europe,Germany,Germany,Bill McDermott,http://www.forbes.com/companies/sap/,0.0819374129319425,0.165460221619953,@SAP
Deutsche Post,43.104,72.614,2.448,59.958,208,Industrials,Air Courier,Europe,Germany,Germany,Frank Appel,http://www.forbes.com/companies/deutsche-post/,0.0408285800060042,0.0337125072300107,@DeutschePostDHL
Continental,34.991,52.386,3.418,47.423,239,Consumer Discretionary,Auto & Truck Parts,Europe,Germany,Germany,Elmar Degenhart,http://www.forbes.com/companies/continental/,0.0720747316702866,0.0652464398885198,@ContiUK
Fresenius,30.561,39.557,2.391,64.82,258,Health Care,Medical Equipment & Supplies,Europe,Germany,Germany,Stephan Sturm,http://www.forbes.com/companies/fresenius/,0.0368867633446467,0.0604444219733549,@Fresenius
E.ON,23.952,35.057,3.802,64.604,263,Utilities,Electric Utilities,Europe,Germany,Germany,Johannes Teyssen,http://www.forbes.com/companies/eon/,0.0588508451489072,0.108451949681947,@EON_de
Henkel,43.057,23.476,2.726,34.253,322,Consumer Staples,Household/Personal Care,Europe,Germany,Germany,Hans van Bylen,http://www.forbes.com/companies/henkel/,0.0795842699909497,0.116118589197478,@Henkel
Deutsche Lufthansa,12.07,42.287,2.552,44.359,413,Industrials,Airline,Europe,Germany,Germany,Carsten Spohr,http://www.forbes.com/companies/deutsche-lufthansa/,0.0575306025834667,0.0603495163998392,@lufthansa
Adidas,51.987,25.854,2.008,17.847,430,Consumer Discretionary,Apparel/Accessories,Europe,Germany,Germany,Kasper Rørsted,http://www.forbes.com/companies/adidas/,0.112511906763041,0.0776668987390733,@adidas
HeidelbergCement,16.263,21.323,1.348,41.888,482,Materials,Construction Materials,Europe,Germany,Germany,Bernd Scheifele,http://www.forbes.com/companies/heidelbergcement/,0.0321810542398778,0.0632181212774938,@hd_cement
Talanx,10.261,41.557,0.829,179.064,484,Financials,Diversified Insurance,Europe,Germany,Germany,Torsten Leue,http://www.forbes.com/companies/talanx/,0.00462962962962963,0.0199485044637486,@talanx
Commerzbank,11.444,15.165,1.008,528.557,494,Financials,Regional Banks,Europe,Germany,Germany,Martin Zielke,http://www.forbes.com/companies/commerzbank/,0.00190707908513178,0.0664688427299703,@commerzbank
Deutsche Bank,18.074,42.269,0.314,1541.123,547,Financials,Major Banks,Europe,Germany,Germany,Christian Sewing,http://www.forbes.com/companies/deutsche-bank/,0.000203747526965726,0.00742861198514278,@DeutscheBank
Merck,45.844,17.745,0.46,42.757,566,Health Care,Pharmaceuticals,Europe,Germany,Germany,Stefan Oschmann,http://www.forbes.com/companies/merck/,0.0107584722969338,0.0259227951535644,@merckgroup
Vonovia,25.764,4.777,2.674,56.457,621,Industrials,Construction Services,Europe,Germany,Germany,Rolf Buch,http://www.forbes.com/companies/vonovia/,0.0473634801707494,0.559765543227967,@Vonovia_SE
Evonik,14.262,17.723,1.101,24.662,624,Materials,Specialized Chemicals,Europe,Germany,Germany,Christian Kullmann,http://www.forbes.com/companies/evonik/,0.0446435812180683,0.0621226654629577,@Evonik
RWE Group,15.828,24.794,0.395,98.259,626,Utilities,Electric Utilities,Europe,Germany,Germany,Rolf Schmitz,http://www.forbes.com/companies/rwe-group/,0.00401998799092195,0.0159312736952489,@RWE_AG
Porsche Automobil Holding,22.223,0.122,4.097,38.514,667,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,Germany,Hans Pötsch,http://www.forbes.com/companies/porsche-automobil-holding/,0.1063769019058,33.5819672131148,@Porsche
Deutsche Boerse,24.159,3.702,0.972,180.249,672,Financials,Investment Services,Europe,Germany,Germany,Theodor Weimer,http://www.forbes.com/companies/deutsche-boerse/,0.00539254031922507,0.262560777957861,@DeutscheBoerse
Uniper,11.192,92.228,-0.533,65.931,710,Utilities,Electric Utilities,Europe,Germany,Germany,Klaus Schäfer,http://www.forbes.com/companies/uniper/,-0.00808420924906342,-0.00577915600468404,@uniper_energy
Covestro,10.896,17.243,2.151,12.882,761,Materials,Specialized Chemicals,Europe,Germany,Germany,Markus Steilemann,http://www.forbes.com/companies/covestro/,0.166977177456917,0.124746273850258,@covestro
Infineon Technologies,27.317,9.195,1.325,12.722,780,Information Technology,Semiconductors,Europe,Germany,Germany,Reinhard Ploss,http://www.forbes.com/companies/infineon-technologies/,0.104150290834774,0.144100054377379,@Infineon
EnBW-Energie Baden,9.623,24.323,0.394,48.409,809,Utilities,Electric Utilities,Europe,Germany,Germany,Frank Mastiaux,http://www.forbes.com/companies/enbw-energie-baden/,0.00813898242062426,0.0161986597048062,@EnBW
Deutsche Wohnen,15.956,1.724,2.162,29.032,820,Industrials,Construction Services,Europe,Germany,Germany,Michael Zahn,http://www.forbes.com/companies/deutsche-wohnen/,0.0744695508404519,1.25406032482599,@Deutsche_Wohnen
ThyssenKrupp Group,9.533,43.315,0.079,40.114,847,Industrials,Conglomerates,Europe,Germany,Germany,Guido Kerkhoff,http://www.forbes.com/companies/thyssenkrupp-group/,0.00196938724634791,0.00182384855131017,@thyssenkrupp
