,06.01.19,13.01.19,20.01.19,27.01.19,03.02.19,10.02.19,17.02.19,24.02.19,03.03.19,10.03.19,17.03.19,24.03.19,31.03.19,07.04.19,14.04.19,21.04.19,28.04.19,05.05.19,12.05.19,19.05.19,26.05.19,02.06.19,09.06.19,16.06.19,23.06.19,30.06.19,07.07.19,14.07.19,21.07.19,28.07.19,04.08.19,11.08.19,18.08.19,25.08.19,01.09.19,08.09.19,15.09.19,22.09.19,29.09.19,06.10.19,13.10.19,20.10.19,27.10.19,03.11.19,10.11.19,17.11.19,24.11.19,01.12.19,08.12.19,15.12.19,22.12.19,29.12.19,05.01.20
Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,75,,,,,,,,,,185,,,,,,,,,,,,,,,,,50,,,,,,,,,,300,,,,,
Chile,,,,,,,,,,,13070,121,10,,,150,,,12,,15000,,,,,,,,,,,,,,,,,30140,135263,20,2,,,,,,,500,,,,,
China,,,,,,,,,,,1000,,,,,,,,,,5,,,,,,,,,,,,,,,,,10,,,210,10,,,,,,,,,,,
Colombia,,,1,1,,,,,,,2571,,,,,,,,50000,,183,,,,,,,,12,,,120,120,,,10,4,6612,4704,227,40,100,,5,,,,20000,,,,,
Costa Rica,,,,,,30,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,350,775,,,,,,,,1000,,,,,,
Croatia,,,,,,,,,,,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,1193,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,500,,,,,,,150,,,70,,,,,,,,,,,,,,,,,1509,600,,,,,,,,,40,,,,,
Czechia,,,,,,,,,,,2133,,,,,,,40,,,329,,,,,,,,,,,,,,,,,2000,1,1,,,,,,,,,,,,,
Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,
Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8768,,,,,100,,,,
Denmark,,,,,,,,,,,25515,,,,100,,,,,,10000,,,,,,,,,,,,,,,,,15000,10000,,1,,,,,,300,4090,3,1,,,1100
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,22,,,,,,,,,,560,,,,,,,,,,,,,,,,,1608,20,20,,,,,,,,20,,,,,
Earth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,70,,,,,30,,,,,70,,,,,,,,,,,,,200,,,10,2500,4000,,,,,3,,,,250,,,,,
Egypt,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1000,6,,5,2200,,,,,20,,,,,
El Salvador,,,,,,,,,,,40,,,,,,,,,,27,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,1100,,,,165,15,,13,,,400,19,6,14,27,20,11,10,6,12,12,5,20,,,,,700,657,40,19,25,10,,,,8,200,12,18,40,18,16
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,5,
Famagusta,,,,,,,,,,,120,275,,,750,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,
Faroe Islands,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,5,6,6,4,5,2,5,4,6,6,8841,8,6,20006,4,3,6,5,4,5,304,,,,,,,,,,,,,,,,,212,21000,,2,,,,,,,1135,,,,,
France,,,,,,,,,,200,549103,804,3,2,2013,,,,,,103000,,,,,50,,,,,,,,,,,,220000,82,,2,,,,,,,15000,1950,70,,,
Gazimağusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,1000,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,100,,1000,,,300000,1500,25000,200,955,80,150,2000,420,251,320000,,50,2000,60000,50,300,,25000,50,2000,185,5,,,,,1400000,30000,2,12,,,,50,75,,630000,70100,10,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,500,,,,,,,,,360,,,,,
Gibraltar,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,
Gilgit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,
Greece,1,1,,,,,,,,,500,,,,,,,,,250,1270,,,,,,,,,,,,,,2,,,10,1003,10,,1,,,,,,200,,,,,
Greenland,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,35,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,5,,,,,,,6,,,,,300,,,,,,,,,,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,20,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,59,,,,,,,,,,270,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,
Hong Kong,,,,,,,,,,,1000,,,,,,,,,,250,,,,,,,,,,,,,,,,,50,,,,,,,,,,100,,,,,
Hungary,,,,,,,,,,,582,,,,,,,,,,3260,,,,,,,,,,,,,,,,,5,9110,3,1,1,31,2,1,1,1,2971,1,1,1,1,1
Iceland,,,,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,,,,,,,,,,,45,,,,
India,,3,150,,,,,,,1,13761,5,,,40,,,350,1000,,1620,9,,50,,,458,100,,1,,1,,,,26,213,25528,41414,13795,52909,514,1593,1143,10001,214,500,40000,463,3600,31,16,301
Indonesia,,,,,,,,,,,306,3,,,,,,,,75,6,,,,,,,,,,,,,,,,226,1563,235,1,75,,,,12,,,10,,,,1,4
Iran,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,1,2,,,,,1000,800,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,5,,,,,,,,,,,,,,
Ireland,,,,,,,100,,,,18631,,,,,,,,,,7,,,,,,,,,,,,,,,,,50000,770,550,510,285,,,,,5,188,,,,,
Isle of Man,,,,,,,,,,,150,,,,40,,,,,,80,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,1200,,,,,,,,,,700,,,,,,,,,,,,,120,125,,,670,5010,81,,,200,,,,,1200,50,15,,,
Italy,,,400,,,,,,,,503905,121,40,25,50,27100,435,17,15,19,110000,60,,,21,20,,,,,,,,,,,5,10000,1200270,,,,2500,,,,100,150000,,50000,11,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,
Japan,,,,,,,,,,,231,,,,,,,,,,250,,,,80,,,,,,,,,,,,,5000,,,,,,,,,,500,2,,,,
Jersey,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Kenya,,,,,,,,50,,,280,,,,,,,,,,1,,,,,,,,,,,,,,,,30,1600,230,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,200,500,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Kyrenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,
Kyrgyzstan,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,700,,,,,,,,,,350,,,,,,,,,,,,,,,,,200,1,,,,,,,,,80,,,,,
Lebanon,,,,,,,,,,,144,700,,,,,,,,,60,,,,,15,,,,,,,,,,,,200,250,,,,,,,,,150,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,
Lithuania,,,,,,,,,,,500,,50,,200,,70,,,,350,,90,,,,,,,,,,,,,,,75,,,,,,,,,,100,,,,,
Luxembourg,,,,,,,,,,,15000,,,,,,,,,,2000,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,
Macedonia,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,200,,,,,,50,,,,,,,,,,,,,,,,,,,,,300,,,,1,,,,,,,,,,,
Malawi,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,190,180,193,200,180,,120,887,,,,,
Malaysia,,,,,,,,,,,175,,,,,,,,,,1,,,,,,,,,,,,,,,,,100,21,23,,3,,,,,,,,,1000,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,7,,,
Malta,,,,,,,,,,,1217,,,,,,,,,,,,,,,,,,,,,,,,,,,300,830,,15,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,200,,,,,,,,,,100,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,720,2771,146,,25,3,,,102,,30,4809,2,,,,15,,,,10,38,,,,,9,15,17544,5392,72,66,17,,,,111,,5000,150,,250,,
Moldova,,,,,,,,,,,50,,,,,20,,,,,100,,,,,,,,,,,,,,,,,250,100,,,,,,50,,,150,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,50,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,32,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,100,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,12,,,,,,,,,214,,,,,
Nepal,,,,,,,,,,,210,,,,,,,,,,65,,,,,,,,,,,,,,,,,412,4170,,,,,,,,,1000,5,,,,
Netherlands,,,,,,,,,,1000,50038,,,,,,300,,,,1500,,,,,,,,,1,,,,,,,,6178,35415,,100,,,,,,,52153,,,,,2
New Caledonia,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,30000,,,,,,,,,,15000,,,,,,,,,,,,,,,,,40002,170000,1,,,,,,,100,11,,999,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,100
Niger,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,100,,,,,,,,,,233,,,,,,,,,,,,,,,,110,924,4114,116,,700,150,1000,15,,,1160,5,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,
Norway,,,,,,,,,,,500,41376,2,4,,,90,,,200,9500,50,,,,,,,,,,,,,68500,,,10023,171,,76,,9,,,,,2000,,,3,8,5
Pakistan,,,,,,,,,,,150,117,,,,,,157,,,150,,,,,,,,,,,,7,,,,,1035,4310,10,,,,,,10006,,200,,1000,,50,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,125,,,,,50,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,,,,,,,,,,,,,,
Peru,,,,,,,,,,,2425,,,,,,,,,,92,,,50,,29,25000,,,,,,,26,,,,372,15000,,,,50,,,,,115,30,,,,30
Philippines,,,,,,,,,,,645,17,1,9,1,4,2,2,2,3,400,1,3,1,1,1,3,,2,1,2,1,42,1,1,,126,2000,5242,1001,1,5,2,1,1,1,1,10421,2,1,30,,4
Poland,,,,,,,,,,,1256,,,,,,,,,,700,,,,,,,,,,,,,,,,,26792,30000,,,500,,,,,,14450,,,,,
Portugal,,,,,,,,,,,15182,,,,,,,,,,4114,,,,,,,,,,,,,,,,,194,30000,5,6,7,10,15,10,7,6,1141,5,6,8,15,10
Puerto Rico,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,2149,700,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,100,,,,,,,
Romania,,,,,,25,,,,,101,,,20,,112,,,,,23,,,20,,,,,,,,,,,,,,883,1263,1,,,,,,,,680,,,,,
Russia,,,,,,,,,,,42,,,,1,,,,,,12,,,,,,,2,2,,,,,,,,,496,355,1,,5,,,,,,129,200,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,4,,,,,,,,,,300,,,,,
Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,,,,,,,,,,200,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,40,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,100,,,,,,,,,450,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,60,,,,10,,,,,,,,,,,,,420,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,140,,,,,,,,,,180,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,2000,31,50,,,,,,,,,,,,,
Slovakia,,,,,,,,,,,430,,,,,,9,,,,310,,14,,,,,,,,,,,,,,,1330,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,12100,,,,,9000,,,,14,,,,,,,,,,,,,,,,,,200,18150,,,,,,,,,20,9000,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,90,,,,,,,35,,,,
South Africa,,,,,,,,,,,3160,,,,,,,,,,76,40,,1000,,,,,,,,,,,,,10,10736,176,552,1,,,1,,,,250,150,,,,
South Korea,,,,,,,,,,,390,50,,,,,,,,,380,,,,,,,240,50,,,,,100,,,1,5000,2000,,,,,,,50,,200,,,,,
Spain,,,,,,,,,,,53310,10,109,308,20,3,,15,,35,4195,,,2,,,,,,,,,,,,3,31,2889,500000,1,200,277,86,1,,100,,10000,500002,510,,,
Sri Lanka,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,124,720,,5,,,,5001,,,150,,,,,
St Kitts & Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,
St Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Svalbard and Jan Mayen,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,110,25,20,20,31,120,23,73,46,101,25258,141,96,132,166,23,348,85,205,86,23025,79,16,50,20,61,19,36,29,28,51,31,43,21,45,33,101,42960,87182,1282,134,68,78,198,111,191,119,8728,1624,151,137,84,247
Switzerland,,,,,,,,,,,73656,,,,,,,,,,35661,,,,,,,,,,,,,,,,,226,128639,,,,,,,,20,16000,8,,,,100
Syria,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Taiwan,,,,,,,,,,,734,20,,,16,,32,10,,315,3422,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,85,200,3,,,,50,,,20,440,30,,,,
Thailand,,,,,,,,,,,160,,,,,,,,,,70,,,,,,,,,,,,,,,,,1500,1018,,10,,,,10,,,206,,,,,
The Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,198,,,,,,,,,,,20,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,100,,,,,
Tunisia,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,109,9,,,,,,,,,1000,,,,,
Turkey,,,,,,,,,,,507,,,,,,,4,,,498,,,2,,30,,,,,,172,1,400,,,1,20887,10000,1,,2,1000,1000,,,,1123,,100,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
U.S. Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
UK,,,1000,,,,10000,,,,50000,30,,,600,,310,1000,,15,30000,15,,18,,,,2,15,,,50,,,,,1,400000,11117,1182,1000,317,306,65,11,10,100,20000,,,30,,7
USA,,2,1,,5,101,,,60,,30297,396,5,63,355,1591,75,1100,69,29,10337,75,12,203,28,58,13,16,25,41,31,28,5,437,4,35,1340,1000296,40767,2670,2000,316,920,137,246,100137,501,70000,13567,225,1208,59,232
Uganda,,,,,,,,,,,150,,,,,,,9,,,257,,,,,,,,,,,,,100,,,,2000,730,,10,,,,,,,52,,,,,
Ukraine,,,,,,,,,,,219,,,,,,26,17,6,2,340,,17,,9,,5,5,8,,7,5,10,13,3,7,10,2152,184,,10,100,,60,,,,350,,30,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Uruguay,,,,,,,,,,,860,,,,,,,,,,350,,,,,,,,,,,,,1200,,,,2000,2,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
